run_num,class_1,class_2,class_3,dollars_reward
1,3.46426137e-05,0.923654313,0.0763110441,0.1539423855
1,0.00331315,0.13345043,0.86323642,0.0222417383333
1,0.000220374475,0.95474213,0.0450374955,0.159123688333
1,0.0506571,0.84495598,0.10438692,0.140825996667
1,1.72175007e-05,0.991292748,0.00869003423,0.165215458
1,0.12393066,0.02557676,0.85049258,0.00426279333333
1,0.2823615,0.69942594,0.01821256,0.11657099
1,0.000411989428,0.963943424,0.0356445869,0.160657237333
1,0.0359926035,0.964002611,4.78574738e-06,0.160667101833
1,0.0018227113,0.970051647,0.0281256415,0.1616752745
1,0.00413962,0.93471699,0.06114339,0.155786165
1,0.15769599,0.29074306,0.55156096,0.0484571766667
1,0.08443691,0.78291073,0.13265236,0.130485121667
1,0.02830586,0.95735789,0.01433626,0.159559648333
1,0.07339152,0.87103898,0.0555695,0.145173163333
2,0.57445678,0.35011712,0.0754261,0.0583528533333
2,0.0082851,0.70051902,0.29119588,0.11675317
2,0.01048027,0.85315481,0.13636492,0.142192468333
2,2.30221176e-06,0.321866162,0.678131536,0.0536443603333
2,0.11226916,0.85296792,0.03476292,0.14216132
2,0.91151593,0.02721098,0.0612731,0.00453516333333
2,0.30878633,0.61938319,0.07183048,0.103230531667
2,0.86455398,0.03470386,0.10074216,0.00578397666667
2,0.38665264,0.07090404,0.54244332,0.01181734
2,0.70795932,0.2614788,0.03056188,0.0435798
2,0.64977052,0.32021795,0.03001153,0.0533696583333
2,0.31470398,0.51500592,0.1702901,0.08583432
2,0.02194646,0.46786421,0.51018933,0.0779773683333
2,0.020379,0.46960291,0.51001809,0.0782671516667
2,6.9890194e-07,0.992066644,0.00793265719,0.165344440667
3,0.00780243,0.00412104,0.98807653,0.00068684
3,8.80658323e-06,0.999258717,0.000732476657,0.1665431195
3,2.91714496e-05,0.0405619069,0.959408922,0.00676031781667
3,2.59521939e-06,0.999605221,0.000392184182,0.166600870167
3,0.999990625,9.07409093e-06,3.01252818e-07,1.51234848833e-06
3,0.99937978,0.000285741972,0.000334478134,4.7623662e-05
3,0.00390256,0.97630114,0.0197963,0.162716856667
3,0.000963609881,0.964429607,0.034606783,0.160738267833
3,0.00122417721,0.88618977,0.112586053,0.147698295
3,0.23019154,0.58743464,0.18237382,0.0979057733333
3,0.000167638186,0.903914557,0.0959178044,0.150652426167
3,0.98494695,0.01249179,0.00256126,0.002081965
3,4.50950794e-11,0.848305176,0.151694824,0.141384196
3,0.74496536,0.0681283,0.18690634,0.0113547166667
3,9.95947332e-06,0.884741673,0.115248367,0.1474569455
4,0.999997786,2.13680887e-06,7.72689577e-08,3.56134811667e-07
4,0.83978725,0.13860392,0.02160883,0.0231006533333
4,0.998758366,0.00113634863,0.000105285179,0.000189391438333
4,0.20239148,0.77910769,0.01850082,0.129851281667
4,0.01306622,0.25315084,0.73378294,0.0421918066667
4,0.01434138,0.85321529,0.13244333,0.142202548333
4,0.01849307,0.92569017,0.05581676,0.154281695
4,0.00236371,0.97442633,0.02320995,0.162404388333
4,0.0025518,0.22440936,0.77303884,0.03740156
4,0.00473658,0.72769007,0.26757335,0.121281678333
4,0.00190481544,0.110608099,0.887487086,0.0184346831667
4,0.00750505,0.94096398,0.05153097,0.15682733
4,0.03708718,0.693373,0.26953982,0.115562166667
4,0.08840502,0.57012534,0.34146964,0.09502089
4,0.01345538,0.89289311,0.09365151,0.148815518333
