time,event,tr
471795.143425,startup,0
471808.856883,slc_18,0
471808.878293,slc_0,0
471808.886608,slc_7,0
471808.895748,slc_25,0
471808.897365,slc_14,0
471808.899058,slc_32,0
471808.899941,slc_3,0
471808.901052,slc_21,0
471808.906376,slc_28,0
471808.913492,slc_10,0
471808.924367,slc_35,0
471808.925947,slc_17,0
471808.943916,slc_6,0
471808.946212,slc_24,0
471808.963097,slc_13,0
471808.96376,slc_31,0
471808.986534,slc_20,0
471808.996156,slc_2,0
471809.027668,slc_27,0
471809.031595,slc_9,0
471809.039741,slc_16,0
471809.057504,slc_34,0
471809.05823,slc_5,0
471809.059067,slc_23,0
471809.135838,slc_30,0
471809.136625,slc_12,0
471809.255649,slc_19,0
471809.256735,slc_1,0
471809.364442,slc_8,0
471809.375955,slc_26,0
471809.465756,slc_15,0
471809.466458,slc_33,0
471809.583124,slc_22,0
471809.583598,slc_4,0
471809.69186,slc_29,0
471809.692563,slc_11,0
471809.692574,mc_start,0
471809.816097,slc_0,1
471809.824061,slc_18,1
471809.927172,slc_7,1
471809.92783,slc_25,1
471810.037726,slc_32,1
471810.038402,slc_14,1
471810.148078,slc_3,1
471810.156086,slc_21,1
471810.256733,slc_28,1
471810.257286,slc_10,1
471810.367876,slc_35,1
471810.368551,slc_17,1
471810.474914,slc_6,1
471810.475562,slc_24,1
471810.583836,slc_31,1
471810.584506,slc_13,1
471810.696067,slc_2,1
471810.696752,slc_20,1
471810.803143,slc_27,1
471810.805006,slc_9,1
471810.914655,slc_34,1
471810.915318,slc_16,1
471810.978597,mc_end,0
471811.025132,slc_23,1
471811.025853,slc_5,1
471811.1357,slc_12,1
471811.136366,slc_30,1
471811.2463,slc_1,1
471811.246874,slc_19,1
471811.3565,slc_8,1
471811.357168,slc_26,1
471811.462807,slc_15,1
471811.463534,slc_33,1
471811.573304,slc_22,1
471811.573821,slc_4,1
471811.683442,slc_11,1
471811.691427,slc_29,1
471811.691439,mc_start,1
471811.823184,slc_0,2
471811.827108,slc_18,2
471811.922487,slc_7,2
471811.930735,slc_25,2
471812.033279,slc_32,2
471812.037284,slc_14,2
471812.14708,slc_21,2
471812.147906,slc_3,2
471812.253559,slc_28,2
471812.254261,slc_10,2
471812.368616,slc_17,2
471812.36908,slc_35,2
471812.472547,slc_24,2
471812.473237,slc_6,2
471812.582997,slc_31,2
471812.583692,slc_13,2
471812.69663,slc_20,2
471812.697209,slc_2,2
471812.814352,slc_9,2
471812.814828,slc_27,2
471812.921407,slc_16,2
471812.921995,slc_34,2
471812.965711,mc_end,1
471813.024337,slc_23,2
471813.024964,slc_5,2
471813.134691,slc_30,2
471813.135346,slc_12,2
471813.245763,slc_19,2
471813.247565,slc_1,2
471813.353063,slc_26,2
471813.353748,slc_8,2
471813.463427,slc_15,2
471813.464129,slc_33,2
471813.574042,slc_4,2
471813.574679,slc_22,2
471813.68433,slc_11,2
471813.702525,slc_29,2
471813.702537,mc_start,2
471813.813418,slc_18,3
471813.817326,slc_0,3
471813.938249,slc_25,3
471814.016352,slc_7,3
471814.044539,slc_14,3
471814.083837,slc_32,3
471814.192337,slc_3,3
471814.199505,slc_21,3
471814.290058,slc_10,3
471814.303285,slc_28,3
471814.38324,slc_35,3
471814.414118,slc_17,3
471814.503471,slc_24,3
471814.514531,slc_6,3
471814.58726,slc_13,3
471814.631529,slc_31,3
471814.741032,slc_2,3
471814.759229,slc_20,3
471814.83124,slc_9,3
471814.8514,slc_27,3
471814.877464,mc_end,2
471814.962053,slc_34,3
471815.018541,slc_16,3
471815.031275,slc_5,3
471815.047232,slc_23,3
471815.151271,slc_30,3
471815.171278,slc_12,3
471815.311452,slc_1,3
471815.319988,slc_19,3
471815.363231,slc_26,3
471815.419228,slc_8,3
471815.522256,slc_15,3
471815.561336,slc_33,3
471815.627102,slc_22,3
471815.641332,slc_4,3
471815.70899,slc_11,3
471815.723079,slc_29,3
471815.72309,mc_start,3
471815.835845,slc_0,4
471815.861292,slc_18,4
471815.951943,slc_7,4
471815.971815,slc_25,4
471816.038897,slc_32,4
471816.053581,slc_14,4
471816.142211,slc_3,4
471816.154252,slc_21,4
471816.255149,slc_10,4
471816.275496,slc_28,4
471816.381378,slc_17,4
471816.407289,slc_35,4
471816.49304,slc_6,4
471816.514499,slc_24,4
471816.623233,slc_13,4
471816.633431,slc_31,4
471816.732363,slc_20,4
471816.742565,slc_2,4
471816.827239,slc_27,4
471816.851721,slc_9,4
471816.942163,slc_16,4
471816.961312,slc_34,4
471817.022638,mc_end,3
471817.05075,slc_5,4
471817.064035,slc_23,4
471817.165493,slc_30,4
471817.183229,slc_12,4
471817.255642,slc_1,4
471817.266382,slc_19,4
471817.367057,slc_26,4
471817.390788,slc_8,4
471817.479105,slc_15,4
471817.519233,slc_33,4
471817.60203,slc_22,4
471817.635233,slc_4,4
471817.71123,slc_11,4
471817.750969,slc_29,4
471817.75098,mc_start,4
471817.861786,slc_18,5
471817.911227,slc_0,5
471817.947235,slc_7,5
471817.971182,slc_25,5
471818.071943,slc_32,5
471818.075238,slc_14,5
471818.17293,slc_21,5
471818.191442,slc_3,5
471818.273829,slc_28,5
471818.303658,slc_10,5
471818.374602,slc_35,5
471818.399269,slc_17,5
471818.521401,slc_24,5
471818.523245,slc_6,5
471818.630828,slc_31,5
471818.663244,slc_13,5
471818.741245,slc_20,5
471818.779849,slc_2,5
471818.80382,slc_9,5
471818.851638,slc_27,5
471818.925185,slc_16,5
471818.957507,slc_34,5
471819.051043,mc_end,4
471819.05107,slc_23,5
471819.071578,slc_5,5
471819.14571,slc_30,5
471819.181154,slc_12,5
