time,event,tr
471192.874798,startup,0
471219.345415,slc_18,0
471219.372941,slc_0,0
471219.393871,slc_7,0
471219.423245,slc_25,0
471219.454231,slc_14,0
471219.464805,slc_32,0
471219.479329,slc_21,0
471219.508927,slc_3,0
471219.523031,slc_28,0
471219.567593,slc_10,0
471219.573994,slc_17,0
471219.606957,slc_35,0
471219.619496,slc_6,0
471219.633583,slc_24,0
471219.646185,slc_13,0
471219.681849,slc_31,0
471219.705879,slc_2,0
471219.713577,slc_20,0
471219.719258,slc_9,0
471219.734617,slc_27,0
471219.738734,slc_16,0
471219.743557,slc_34,0
471219.776283,slc_23,0
471219.81123,slc_5,0
471219.822047,slc_12,0
471219.843269,slc_30,0
471219.853649,slc_1,0
471219.855231,slc_19,0
471219.889594,slc_8,0
471219.923033,slc_26,0
471219.992272,slc_15,0
471220.032618,slc_33,0
471220.075738,slc_22,0
471220.099232,slc_4,0
471220.206515,slc_11,0
471220.234828,slc_29,0
471220.234839,mc_start,0
471220.362704,slc_0,1
471220.366092,slc_18,1
471220.45289,slc_25,1
471220.466792,slc_7,1
471220.567057,slc_32,1
471220.58053,slc_14,1
471220.656045,slc_21,1
471220.667843,slc_3,1
471220.796115,slc_10,1
471220.81668,slc_28,1
471220.869695,slc_17,1
471220.910292,slc_35,1
471221.004984,slc_24,1
471221.026978,slc_6,1
471221.091809,slc_31,1
471221.103224,slc_13,1
471221.242077,slc_20,1
471221.242835,slc_2,1
471221.331231,slc_9,1
471221.352414,slc_27,1
471221.459237,slc_16,1
471221.46668,slc_34,1
471221.532444,mc_end,0
471221.534004,slc_23,1
471221.572225,slc_5,1
471221.647229,slc_12,1
471221.673211,slc_30,1
471221.746032,slc_19,1
471221.769082,slc_1,1
471221.863227,slc_26,1
471221.875132,slc_8,1
471221.975915,slc_33,1
471222.027238,slc_15,1
471222.076896,slc_4,1
471222.100854,slc_22,1
471222.21698,slc_29,1
471222.240703,slc_11,1
471222.240715,mc_start,1
471222.378325,slc_18,2
471222.422137,slc_0,2
471222.444874,slc_25,2
471222.468536,slc_7,2
471222.534806,slc_32,2
471222.5822,slc_14,2
471222.685779,slc_3,2
471222.686466,slc_21,2
471222.757739,slc_28,2
471222.76684,slc_10,2
471222.877501,slc_17,2
471222.891493,slc_35,2
471222.987109,slc_24,2
471222.992885,slc_6,2
471223.09601,slc_31,2
471223.128583,slc_13,2
471223.197275,slc_2,2
471223.227287,slc_20,2
471223.319241,slc_27,2
471223.337181,slc_9,2
471223.447607,slc_34,2
471223.461952,slc_16,2
471223.531826,mc_end,1
471223.535023,slc_5,2
471223.563227,slc_23,2
471223.637177,slc_12,2
471223.650407,slc_30,2
471223.747394,slc_1,2
471223.782266,slc_19,2
471223.879003,slc_26,2
471223.911208,slc_8,2
471223.968139,slc_15,2
471223.979241,slc_33,2
471224.083244,slc_22,2
471224.091224,slc_4,2
471224.186201,slc_11,2
471224.198563,slc_29,2
471224.198572,mc_start,2
471224.315254,slc_0,3
471224.331991,slc_18,3
471224.431234,slc_7,3
471224.440954,slc_25,3
471224.542139,slc_32,3
471224.559239,slc_14,3
471224.647432,slc_3,3
471224.67123,slc_21,3
471224.759251,slc_28,3
471224.783249,slc_10,3
471224.87923,slc_17,3
471224.891242,slc_35,3
471224.987273,slc_24,3
471225.023247,slc_6,3
471225.107256,slc_31,3
471225.127226,slc_13,3
471225.203229,slc_20,3
471225.242543,slc_2,3
471225.269558,mc_end,2
471225.307644,slc_9,3
471225.339024,slc_27,3
471225.416763,slc_34,3
471225.440377,slc_16,3
471225.562017,slc_23,3
471225.564983,slc_5,3
471225.663229,slc_12,3
471225.665792,slc_30,3
471225.758903,slc_19,3
471225.766671,slc_1,3
471225.862896,slc_8,3
471225.867207,slc_26,3
471225.975225,slc_33,3
471226.003229,slc_15,3
471226.093344,slc_4,3
471226.119788,slc_22,3
471226.204333,slc_29,3
471226.24722,slc_11,3
471226.247229,mc_start,3
471226.317012,slc_0,4
471226.343223,slc_18,4
471226.441117,slc_7,4
471226.45666,slc_25,4
471226.540367,slc_32,4
471226.573371,slc_14,4
471226.659232,slc_21,4
471226.674822,slc_3,4
471226.775733,slc_10,4
471226.80403,slc_28,4
471226.876401,slc_17,4
471226.889311,slc_35,4
471226.975392,slc_24,4
471226.977566,slc_6,4
471227.087067,slc_31,4
471227.115661,slc_13,4
471227.196506,slc_2,4
471227.21124,slc_20,4
471227.309478,slc_27,4
471227.325922,slc_9,4
471227.418946,slc_16,4
471227.437682,slc_34,4
471227.531072,slc_5,4
471227.534109,mc_end,3
471227.563227,slc_23,4
471227.636051,slc_30,4
471227.648314,slc_12,4
471227.748122,slc_19,4
471227.756256,slc_1,4
471227.879227,slc_26,4
471227.896088,slc_8,4
471227.996469,slc_33,4
471227.998851,slc_15,4
471228.095074,slc_4,4
471228.097927,slc_22,4
471228.194487,slc_29,4
471228.21036,slc_11,4
471228.210369,mc_start,4
471228.327432,slc_0,5
471228.362914,slc_18,5
471228.424402,slc_25,5
471228.46323,slc_7,5
471228.582216,slc_14,5
471228.587186,slc_32,5
471228.659679,slc_3,5
471228.69269,slc_21,5
471228.755722,slc_10,5
471228.785946,slc_28,5
471228.899229,slc_17,5
471228.907425,slc_35,5
471229.009237,slc_6,5
471229.023672,slc_24,5
471229.11049,slc_31,5
471229.111059,slc_13,5
471229.209573,slc_20,5
471229.211835,slc_2,5
471229.309441,slc_9,5
471229.312709,slc_27,5
471229.439732,slc_34,5
471229.462749,slc_16,5
471229.49682,mc_end,4
471229.533532,slc_5,5
471229.564767,slc_23,5
471229.655206,slc_30,5
471229.679227,slc_12,5
471229.756614,slc_1,5
471229.778607,slc_19,5
471229.871349,slc_8,5
471229.895239,slc_26,5
471229.963724,slc_15,5
471229.979236,slc_33,5
471230.083235,slc_4,5
471230.095248,slc_22,5
471230.187699,slc_11,5
471230.195054,slc_29,5
471230.195063,mc_start,5
471230.327153,slc_0,6
471230.362361,slc_18,6
471230.427757,slc_25,6
471230.428532,slc_7,6
471230.582396,slc_32,6
471230.595037,slc_14,6
471230.671241,slc_21,6
471230.69337,slc_3,6
471230.775732,slc_10,6
471230.803545,slc_28,6
471230.899228,slc_35,6
471230.913097,slc_17,6
471230.979631,slc_6,6
471231.014943,slc_24,6
471231.10322,slc_31,6
471231.113859,slc_13,6
471231.209176,slc_20,6
471231.212523,slc_2,6
471231.323241,slc_9,6
471231.347482,slc_27,6
471231.448462,slc_16,6
471231.448968,slc_34,6
471231.486888,mc_end,5
471231.53106,slc_5,6
471231.536921,slc_23,6
471231.712618,slc_12,6
471231.715555,slc_30,6
471231.760731,slc_19,6
471231.78913,slc_1,6
471231.853914,slc_26,6
471231.866632,slc_8,6
471231.999226,slc_15,6
471232.019233,slc_33,6
471232.076064,slc_4,6
471232.123268,slc_22,6
471232.219301,slc_11,6
471232.253523,slc_29,6
471232.253533,mc_start,6
471232.32562,slc_18,7
471232.347831,slc_0,7
471232.43924,slc_7,7
