time,event,tr
711188.353087,startup,0
711220.441007,slc_0,0
711220.461293,slc_18,0
711220.470932,slc_25,0
711220.478855,slc_7,0
711220.479489,slc_14,0
711220.48011,slc_32,0
711220.480713,slc_21,0
711220.481327,slc_3,0
711220.49253,slc_28,0
711220.493144,slc_10,0
711220.505285,slc_35,0
711220.50632,slc_17,0
711220.524475,slc_6,0
711220.525149,slc_24,0
711220.539317,slc_31,0
711220.539974,slc_13,0
711220.555221,slc_20,0
711220.555838,slc_2,0
711220.574249,slc_9,0
711220.574898,slc_27,0
711220.59623,slc_34,0
711220.596922,slc_16,0
711220.609867,slc_5,0
711220.611992,slc_23,0
711220.681206,slc_12,0
711220.682832,slc_30,0
711220.788692,slc_19,0
711220.789361,slc_1,0
711220.90599,slc_8,0
711220.913413,slc_26,0
711221.048988,slc_15,0
711221.073983,slc_33,0
711221.138491,slc_4,0
711221.155448,slc_22,0
711221.243786,slc_29,0
711221.258157,slc_11,0
711221.258173,mc_start,0
711221.361784,slc_0,1
711221.362391,slc_18,1
711221.406378,mc_end,0
711221.470068,slc_7,1
711221.471248,slc_25,1
711221.583547,slc_32,1
711221.584514,slc_14,1
711221.68987,slc_21,1
711221.690453,slc_3,1
711221.80127,slc_10,1
711221.802025,slc_28,1
711221.914494,slc_17,1
711221.915237,slc_35,1
711222.022136,slc_24,1
711222.022829,slc_6,1
711222.133116,slc_31,1
711222.133774,slc_13,1
711222.240369,slc_2,1
711222.241065,slc_20,1
711222.347487,slc_9,1
711222.348175,slc_27,1
711222.460886,slc_34,1
711222.46156,slc_16,1
711222.574681,slc_23,1
711222.57537,slc_5,1
711222.681354,slc_30,1
711222.681925,slc_12,1
711222.79102,slc_19,1
711222.79439,slc_1,1
711222.899429,slc_26,1
711222.900601,slc_8,1
711223.010851,slc_33,1
711223.011539,slc_15,1
711223.121254,slc_22,1
711223.121937,slc_4,1
711223.232721,slc_29,1
711223.243624,slc_11,1
711223.243636,mc_start,1
711223.338996,mc_end,1
711223.360289,slc_0,2
711223.362126,slc_18,2
711223.472037,slc_25,2
711223.4728,slc_7,2
711223.579538,slc_32,2
711223.581122,slc_14,2
711223.688456,slc_3,2
711223.692046,slc_21,2
711223.801034,slc_28,2
711223.801762,slc_10,2
711223.910616,slc_17,2
711223.911338,slc_35,2
711224.020219,slc_24,2
711224.020977,slc_6,2
711224.128836,slc_31,2
711224.129647,slc_13,2
711224.242581,slc_20,2
711224.24328,slc_2,2
711224.358543,slc_27,2
711224.35905,slc_9,2
711224.458992,slc_16,2
711224.45956,slc_34,2
711224.570902,slc_5,2
711224.571396,slc_23,2
711224.683666,slc_12,2
711224.687184,slc_30,2
711224.789981,slc_19,2
711224.790804,slc_1,2
711224.89765,slc_8,2
711224.89995,slc_26,2
711225.01082,slc_15,2
711225.011946,slc_33,2
711225.120607,slc_4,2
711225.121902,slc_22,2
711225.229974,slc_29,2
711225.240496,slc_11,2
711225.240507,mc_start,2
711225.335647,mc_end,2
711225.361984,slc_18,3
711225.362666,slc_0,3
711225.469128,slc_7,3
711225.47416,slc_25,3
711225.579528,slc_32,3
711225.594983,slc_14,3
711225.690232,slc_21,3
711225.697949,slc_3,3
711225.801575,slc_10,3
711225.809951,slc_28,3
711225.910949,slc_17,3
711225.921112,slc_35,3
711226.067683,slc_6,3
711226.117977,slc_24,3
711226.138949,slc_13,3
711226.203873,slc_31,3
711226.245976,slc_20,3
711226.258234,slc_2,3
711226.350753,slc_9,3
711226.39654,slc_27,3
711226.481978,slc_34,3
711226.50598,slc_16,3
711226.58532,slc_5,3
711226.616553,slc_23,3
711226.725678,slc_30,3
711226.72997,slc_12,3
711226.78968,slc_1,3
711226.79045,slc_19,3
711226.900842,slc_8,3
711226.901472,slc_26,3
711227.013878,slc_33,3
711227.014414,slc_15,3
711227.11724,slc_22,3
711227.118521,slc_4,3
711227.228223,slc_11,3
711227.233982,slc_29,3
711227.233997,mc_start,3
711227.330638,mc_end,3
711227.361291,slc_0,4
711227.366793,slc_18,4
711227.481428,slc_25,4
711227.487765,slc_7,4
711227.57815,slc_32,4
711227.594018,slc_14,4
711227.689418,slc_21,4
711227.695227,slc_3,4
711227.801964,slc_10,4
711227.80596,slc_28,4
711227.911742,slc_35,4
711227.921978,slc_17,4
711228.022505,slc_6,4
711228.034172,slc_24,4
711228.133963,slc_31,4
