time,event,tr
711801.005607,startup,0
711834.635039,slc_0,0
711834.655991,slc_18,0
711834.664535,slc_7,0
711834.673968,slc_25,0
711834.674842,slc_32,0
711834.675569,slc_14,0
711834.676282,slc_21,0
711834.677039,slc_3,0
711834.678862,slc_10,0
711834.682795,slc_28,0
711834.702185,slc_35,0
711834.7029,slc_17,0
711834.712175,slc_6,0
711834.727691,slc_24,0
711834.730842,slc_13,0
711834.732584,slc_31,0
711834.750876,slc_20,0
711834.751642,slc_2,0
711834.762586,slc_27,0
711834.782725,slc_9,0
711834.811614,slc_34,0
711834.814764,slc_16,0
711834.827997,slc_23,0
711834.840486,slc_5,0
711834.941163,slc_12,0
711834.949428,slc_30,0
711835.051949,slc_1,0
711835.093112,slc_19,0
711835.172231,slc_8,0
711835.17474,slc_26,0
711835.307382,slc_15,0
711835.308108,slc_33,0
711835.383185,slc_4,0
711835.390495,slc_22,0
711835.488982,slc_11,0
711835.511485,slc_29,0
711835.511498,mc_start,0
711835.617411,mc_end,0
711835.627071,slc_18,1
711835.627844,slc_0,1
711835.732345,slc_7,1
711835.733089,slc_25,1
711835.848102,slc_14,1
711835.848894,slc_32,1
711835.95059,slc_21,1
711835.951334,slc_3,1
711836.060715,slc_28,1
711836.061484,slc_10,1
711836.167854,slc_17,1
711836.174657,slc_35,1
711836.280366,slc_24,1
711836.282236,slc_6,1
711836.395121,slc_13,1
711836.395683,slc_31,1
711836.504411,slc_2,1
711836.508417,slc_20,1
711836.610875,slc_9,1
711836.611692,slc_27,1
711836.722718,slc_16,1
711836.734674,slc_34,1
711836.830521,slc_5,1
711836.849471,slc_23,1
711836.945416,slc_12,1
711836.950437,slc_30,1
711837.085991,slc_19,1
711837.114615,slc_1,1
711837.169981,slc_8,1
711837.179973,slc_26,1
711837.280203,slc_15,1
711837.280943,slc_33,1
711837.397975,slc_22,1
711837.429972,slc_4,1
711837.489986,slc_11,1
711837.511606,slc_29,1
711837.511618,mc_start,1
711837.612596,mc_end,1
711837.61798,slc_18,2
711837.657292,slc_0,2
711837.741975,slc_25,2
711837.765966,slc_7,2
711837.869025,slc_14,2
711837.884548,slc_32,2
711837.957246,slc_21,2
711837.962001,slc_3,2
711838.061135,slc_10,2
711838.06692,slc_28,2
711838.168634,slc_35,2
711838.174486,slc_17,2
711838.279152,slc_24,2
711838.280051,slc_6,2
711838.386888,slc_13,2
711838.387952,slc_31,2
711838.496928,slc_2,2
711838.498428,slc_20,2
711838.608611,slc_27,2
711838.610628,slc_9,2
711838.720766,slc_16,2
711838.721598,slc_34,2
711838.827384,slc_5,2
711838.828825,slc_23,2
711838.938741,slc_12,2
711838.942002,slc_30,2
711839.062587,slc_1,2
711839.076059,slc_19,2
711839.164825,slc_26,2
711839.170548,slc_8,2
711839.269036,slc_15,2
711839.269963,slc_33,2
711839.377666,slc_22,2
711839.379938,slc_4,2
711839.487663,slc_29,2
711839.488374,slc_11,2
711839.488385,mc_start,2
711839.592048,mc_end,2
711839.626589,slc_18,3
711839.627213,slc_0,3
711839.728094,slc_25,3
711839.728928,slc_7,3
711839.84143,slc_14,3
711839.885165,slc_32,3
711839.969973,slc_3,3
711839.996138,slc_21,3
711840.105374,slc_10,3
711840.121977,slc_28,3
711840.205979,slc_35,3
711840.214892,slc_17,3
711840.294594,slc_24,3
711840.313503,slc_6,3
711840.398552,slc_31,3
711840.433924,slc_13,3
711840.521973,slc_20,3
711840.534622,slc_2,3
711840.621968,slc_27,3
711840.635479,slc_9,3
711840.733981,slc_16,3
711840.735614,slc_34,3
711840.830568,slc_5,3
711840.836487,slc_23,3
711840.937198,slc_30,3
711840.965979,slc_12,3
711841.057981,slc_1,3
711841.097977,slc_19,3
711841.194417,slc_8,3
711841.213976,slc_26,3
711841.267495,slc_33,3
711841.335962,slc_15,3
711841.402678,slc_4,3
711841.41797,slc_22,3
711841.490426,slc_29,3
711841.533972,slc_11,3
711841.533983,mc_start,3
711841.636513,slc_0,4
711841.636632,mc_end,3
711841.650341,slc_18,4
711841.750456,slc_7,4
711841.751377,slc_25,4
711841.849979,slc_14,4
711841.85232,slc_32,4
711841.952885,slc_3,4
711841.995752,slc_21,4
711842.058211,slc_28,4
711842.105176,slc_10,4
711842.178953,slc_35,4
711842.213976,slc_17,4
711842.286234,slc_6,4
711842.324608,slc_24,4
711842.397184,slc_31,4
711842.413978,slc_13,4
711842.497201,slc_20,4
711842.549993,slc_2,4
711842.613978,slc_27,4
711842.655562,slc_9,4
711842.727966,slc_34,4
711842.741976,slc_16,4
711842.857271,slc_23,4
711842.8748,slc_5,4
711842.958713,slc_12,4
711842.986064,slc_30,4
711843.089972,slc_1,4
711843.118079,slc_19,4
711843.159896,slc_26,4
711843.221969,slc_8,4
711843.277842,slc_15,4
711843.335197,slc_33,4
711843.417975,slc_22,4
711843.442019,slc_4,4
711843.498041,slc_11,4
711843.556492,slc_29,4
711843.556504,mc_start,4
711843.633976,slc_0,5
711843.65928,slc_18,5
711843.659369,mc_end,4
711843.769154,slc_25,5
711843.776144,slc_7,5
711843.874423,slc_14,5
711843.87967,slc_32,5
711843.975575,slc_21,5
711843.993995,slc_3,5
711844.072794,slc_10,5
711844.076147,slc_28,5
711844.177186,slc_35,5
711844.201981,slc_17,5
711844.278275,slc_24,5
