time,event,tr
471217.717247,trigger,0
471219.71493,trigger,1
471221.715424,trigger,2
471223.71507,trigger,3
471225.714519,trigger,4
471227.714328,trigger,5
471229.714422,trigger,6
471231.713754,trigger,7
471233.714546,trigger,8
471235.714754,trigger,9
471237.714813,trigger,10
471239.71439,trigger,11
471241.714482,trigger,12
471243.71501,trigger,13
471245.71467,trigger,14
471247.714631,trigger,15
471249.715526,trigger,16
471251.715377,trigger,17
471253.715586,trigger,18
471255.715218,trigger,19
471257.71552,trigger,20
471259.715874,trigger,21
471261.714462,trigger,22
471263.714531,trigger,23
471265.713788,trigger,24
471267.714634,trigger,25
471269.714806,trigger,26
471271.714744,trigger,27
471273.714753,trigger,28
471275.714991,trigger,29
471277.714951,trigger,30
471279.714672,trigger,31
471281.714748,trigger,32
471283.714376,trigger,33
471285.714999,trigger,34
471287.71462,trigger,35
471289.714717,trigger,36
471291.715143,trigger,37
471293.714704,trigger,38
471295.714395,trigger,39
471297.714279,trigger,40
471299.71384,trigger,41
471301.714607,trigger,42
471303.713999,trigger,43
471305.714137,trigger,44
471307.71413,trigger,45
471309.714211,trigger,46
471311.71419,trigger,47
471313.714193,trigger,48
471315.714324,trigger,49
471317.714326,trigger,50
471319.714531,trigger,51
471321.714535,trigger,52
471323.714526,trigger,53
471325.714591,trigger,54
471327.714534,trigger,55
471329.71354,trigger,56
471331.713552,trigger,57
471333.713739,trigger,58
471335.713703,trigger,59
471337.713781,trigger,60
471339.71379,trigger,61
471341.713956,trigger,62
471343.713953,trigger,63
471345.713931,trigger,64
471347.714161,trigger,65
471349.714129,trigger,66
471351.714271,trigger,67
471353.714292,trigger,68
471355.714692,trigger,69
471357.714533,trigger,70
471359.714286,trigger,71
471361.714393,trigger,72
471363.714515,trigger,73
471365.713639,trigger,74
471367.713597,trigger,75
471369.713643,trigger,76
471371.713715,trigger,77
471373.713798,trigger,78
471375.71381,trigger,79
471377.71389,trigger,80
471379.714209,trigger,81
471381.714146,trigger,82
471383.714082,trigger,83
471385.714298,trigger,84
471387.714194,trigger,85
471389.714276,trigger,86
471391.714306,trigger,87
471393.714341,trigger,88
471395.71442,trigger,89
471397.713564,trigger,90
471399.713627,trigger,91
471401.713598,trigger,92
471403.713675,trigger,93
471405.71374,trigger,94
471407.713771,trigger,95
471409.713782,trigger,96
471411.713891,trigger,97
471413.713929,trigger,98
471415.713963,trigger,99
471417.71404,trigger,100
471419.714094,trigger,101
471421.714138,trigger,102
471423.714188,trigger,103
471425.714387,trigger,104
471427.714504,trigger,105
471429.71427,trigger,106
471431.714468,trigger,107
471433.713278,trigger,108
471435.713509,trigger,109
471437.713649,trigger,110
471439.713943,trigger,111
471441.713731,trigger,112
471443.713798,trigger,113
471445.713987,trigger,114
471447.714011,trigger,115
471449.713933,trigger,116
471451.713908,trigger,117
471453.714048,trigger,118
471455.714116,trigger,119
471457.714176,trigger,120
471459.714223,trigger,121
471461.714201,trigger,122
471463.714285,trigger,123
471465.71434,trigger,124
471467.713483,trigger,125
471469.713635,trigger,126
471471.713574,trigger,127
471473.713652,trigger,128
471475.713829,trigger,129
471477.713777,trigger,130
471479.71382,trigger,131
471481.714177,trigger,132
471483.714084,trigger,133
471485.714225,trigger,134
471487.714184,trigger,135
471489.714008,trigger,136
471491.714187,trigger,137
471493.714188,trigger,138
471495.714254,trigger,139
471497.714418,trigger,140
471499.714415,trigger,141
471501.71349,trigger,142
471503.713468,trigger,143
471505.713584,trigger,144
471507.713603,trigger,145
471509.713689,trigger,146
471511.71373,trigger,147
471513.713806,trigger,148
471515.713869,trigger,149
471517.71397,trigger,150
471519.713961,trigger,151
471521.713987,trigger,152
471523.714073,trigger,153
471525.714056,trigger,154
471527.714161,trigger,155
471529.714209,trigger,156
471531.714211,trigger,157
471533.714289,trigger,158
471535.713381,trigger,159
