time,event,tr
26.4805860519,trigger,0
28.4681301117,trigger,1
30.4555809498,trigger,2
32.4339010715,trigger,3
34.4688789845,trigger,4
36.4645800591,trigger,5
38.466121912,trigger,6
39.0278940201,feedback,4
40.4397649765,trigger,7
41.0664839745,feedback,5
42.4510409832,trigger,8
43.0712630749,feedback,6
44.4512269497,trigger,9
45.0840559006,feedback,7
46.4362430573,trigger,10
47.1054589748,feedback,8
48.4594619274,trigger,11
49.1474409103,feedback,9
50.4592781067,trigger,12
51.0487129688,feedback,10
52.4334208965,trigger,13
53.0897641182,feedback,11
54.4772241116,trigger,14
55.0728309155,feedback,12
56.4519600868,trigger,15
57.1285951138,feedback,13
58.4516990185,trigger,16
59.0429639816,feedback,14
60.449739933,trigger,17
61.0377459526,feedback,15
62.4469070435,trigger,18
63.1213810444,feedback,16
64.4424450397,trigger,19
65.0641860962,feedback,17
66.442070961,trigger,20
67.1048660278,feedback,18
68.4471518993,trigger,21
69.0994129181,feedback,19
70.4526410103,trigger,22
71.0389530659,feedback,20
72.4364070892,trigger,23
73.0683550835,feedback,21
74.4459431171,trigger,24
75.0540289879,feedback,22
76.4504799843,trigger,25
77.0499200821,feedback,23
78.4693119526,trigger,26
79.0385279655,feedback,24
80.4597051144,trigger,27
81.0250809193,feedback,25
82.4496629238,trigger,28
83.0565459728,feedback,26
84.4504699707,trigger,29
85.0531439781,feedback,27
86.4598529339,trigger,30
87.0937790871,feedback,28
88.4413239956,trigger,31
89.1103579998,feedback,29
90.4693078995,trigger,32
91.0763540268,feedback,30
92.4548139572,trigger,33
93.062513113,feedback,31
94.4371879101,trigger,34
95.0461080074,feedback,32
96.4437220097,trigger,35
97.0861020088,feedback,33
98.4484040737,trigger,36
99.0834329128,feedback,34
100.445075035,trigger,37
101.054032087,feedback,35
102.449660063,trigger,38
103.061932087,feedback,36
104.465739012,trigger,39
105.041273117,feedback,37
106.471101046,trigger,40
107.049052,feedback,38
108.451304913,trigger,41
109.094724894,feedback,39
110.456515074,trigger,42
111.027333021,feedback,40
112.458077908,trigger,43
113.098043919,feedback,41
114.46626997,trigger,44
115.051450968,feedback,42
116.452054977,trigger,45
117.077513933,feedback,43
118.443623066,trigger,46
119.076910973,feedback,44
120.4594419,trigger,47
121.074080944,feedback,45
