time,event,tr
27.4631888866,trigger,0
29.4630548954,trigger,1
31.4630329609,trigger,2
33.4630289078,trigger,3
35.4629890919,trigger,4
37.4630219936,trigger,5
39.4629600048,trigger,6
40.0708229542,feedback,4
41.4630680084,trigger,7
42.0868010521,feedback,5
43.4630229473,trigger,8
44.0868039131,feedback,6
45.4629969597,trigger,9
46.1827979088,feedback,7
47.4629600048,trigger,10
48.0707950592,feedback,8
49.4629330635,trigger,11
50.0867960453,feedback,9
51.4629609585,trigger,12
52.0707941055,feedback,10
53.4649739265,trigger,13
54.1112511158,feedback,11
55.4679849148,trigger,14
56.0918030739,feedback,12
57.4519538879,trigger,15
58.1398010254,feedback,13
59.4519488811,trigger,16
60.0758020878,feedback,14
61.4519469738,trigger,17
62.0759348869,feedback,15
63.4520959854,trigger,18
64.0438239574,feedback,16
65.4519989491,trigger,19
66.0917971134,feedback,17
67.4519469738,trigger,20
68.1238191128,feedback,18
69.4519228935,trigger,21
70.1558270454,feedback,19
71.4519479275,trigger,22
72.0758020878,feedback,20
73.4519450665,trigger,23
74.0917959213,feedback,21
75.451967001,trigger,24
76.0758008957,feedback,22
77.4520189762,trigger,25
78.0757980347,feedback,23
79.4519650936,trigger,26
80.0597989559,feedback,24
81.4518868923,trigger,27
82.0597989559,feedback,25
83.4519639015,trigger,28
84.0767989159,feedback,26
85.4529659748,trigger,29
86.1728010178,feedback,27
87.452960968,trigger,30
88.0928010941,feedback,28
89.4549779892,trigger,31
90.0627970695,feedback,29
91.4550180435,trigger,32
92.0947999954,feedback,30
93.455092907,trigger,33
94.0137979984,feedback,31
95.4550509453,trigger,34
96.1587998867,feedback,32
97.4550139904,trigger,35
98.158796072,feedback,33
99.4550659657,trigger,36
100.062798977,feedback,34
101.454998016,trigger,37
102.063344955,feedback,35
103.454931021,trigger,38
104.190798998,feedback,36
105.454890013,trigger,39
106.158798933,feedback,37
107.455046892,trigger,40
108.06279707,feedback,38
109.454977036,trigger,41
110.07879591,feedback,39
111.454982996,trigger,42
112.142810106,feedback,40
113.454965115,trigger,43
114.206798077,feedback,41
115.45488596,trigger,44
116.062803984,feedback,42
117.454973936,trigger,45
118.07879591,feedback,43
119.454952955,trigger,46
120.06279397,feedback,44
121.459979057,trigger,47
122.051803112,feedback,45
123.459975004,trigger,48
124.116548061,feedback,46
125.459980011,trigger,49
126.067800999,feedback,47
127.460026026,trigger,50
128.035797119,feedback,48
129.460000038,trigger,51
130.099803925,feedback,49
131.459954023,trigger,52
132.115803003,feedback,50
133.459942102,trigger,53
134.083798885,feedback,51
135.459909916,trigger,54
136.083806038,feedback,52
137.459939003,trigger,55
138.180030107,feedback,53
139.460009098,trigger,56
140.163805008,feedback,54
141.459963083,trigger,57
142.099796057,feedback,55
143.459923983,trigger,58
144.035797119,feedback,56
145.461977005,trigger,59
146.117801905,feedback,57
147.461926937,trigger,60
148.069797039,feedback,58
149.462922096,trigger,61
150.102802992,feedback,59
151.462975979,trigger,62
152.086805105,feedback,60
153.462920904,trigger,63
154.086800098,feedback,61
155.462992907,trigger,64
156.086797953,feedback,62
157.463088036,trigger,65
158.182797909,feedback,63
159.462970972,trigger,66
160.102799892,feedback,64
161.462980986,trigger,67
162.166795969,feedback,65
163.462975979,trigger,68
164.038796902,feedback,66
165.462979078,trigger,69
166.054795027,feedback,67
167.462996006,trigger,70
168.134795904,feedback,68
169.453958035,trigger,71
170.205805063,feedback,69
171.453963995,trigger,72
172.141798019,feedback,70
173.453972101,trigger,73
174.158452034,feedback,71
175.453959942,trigger,74
176.109796047,feedback,72
177.453957081,trigger,75
178.062997103,feedback,73
179.454993963,trigger,76
180.046806097,feedback,74
181.454962969,trigger,77
182.062819004,feedback,75
183.455960989,trigger,78
184.095805883,feedback,76
185.455979109,trigger,79
186.095808029,feedback,77
187.455979109,trigger,80
188.079799891,feedback,78
189.455976963,trigger,81
190.047806025,feedback,79
191.455919027,trigger,82
192.095803976,feedback,80
193.455913067,trigger,83
194.047800064,feedback,81
195.455945015,trigger,84
196.079794884,feedback,82
197.455966949,trigger,85
198.06380105,feedback,83
199.455970049,trigger,86
200.22379899,feedback,84
201.455975056,trigger,87
202.127796888,feedback,85
203.455977917,trigger,88
204.255799055,feedback,86
205.455960035,trigger,89
206.127814054,feedback,87
207.455952883,trigger,90
208.159800053,feedback,88
209.45598197,trigger,91
210.096057892,feedback,89
211.455939054,trigger,92
212.111799955,feedback,90
213.455920935,trigger,93
214.11639595,feedback,91
215.459971905,trigger,94
216.083796978,feedback,92
217.459945917,trigger,95
218.084431887,feedback,93
219.460053921,trigger,96
220.147793055,feedback,94
221.459918976,trigger,97
222.075856924,feedback,95
223.460009098,trigger,98
224.086865902,feedback,96
225.462939978,trigger,99
226.102797031,feedback,97
227.462974072,trigger,100
228.102801085,feedback,98
229.462964058,trigger,101
230.102801085,feedback,99
231.462949038,trigger,102
232.134799004,feedback,100
233.451937914,trigger,103
234.171797991,feedback,101
235.451935053,trigger,104
236.139791965,feedback,102
237.451931953,trigger,105
238.075797081,feedback,103
239.453963995,trigger,106
240.125794888,feedback,104
241.453974009,trigger,107
242.093801022,feedback,105
243.453963041,trigger,108
244.062547922,feedback,106
245.453986883,trigger,109
246.049803972,feedback,107
247.457907915,trigger,110
248.113801956,feedback,108
249.457901955,trigger,111
250.082155943,feedback,109
251.457974911,trigger,112
252.081800938,feedback,110
253.457976103,trigger,113
254.101622105,feedback,111
255.463975906,trigger,114
256.113883018,feedback,112
257.45797205,trigger,115
258.241803885,feedback,113
259.457941055,trigger,116
260.113800049,feedback,114
261.457973957,trigger,117
262.065797091,feedback,115
263.458894014,trigger,118
264.147800922,feedback,116
265.460009098,trigger,119
266.11579895,feedback,117
267.460005999,trigger,120
268.211920023,feedback,118
269.459952116,trigger,121
270.035804033,feedback,119
271.459985971,trigger,122
272.083798885,feedback,120
273.459964991,trigger,123
274.13179493,feedback,121
275.45994091,trigger,124
276.067924023,feedback,122
277.459950924,trigger,125
278.099801064,feedback,123
279.45992589,trigger,126
280.115797043,feedback,124
