time,event,tr
26.4233250618,trigger,0
28.4226489067,trigger,1
30.4226880074,trigger,2
32.4228949547,trigger,3
34.4226930141,trigger,4
36.422700882,trigger,5
38.422713995,trigger,6
39.1105840206,feedback,4
40.422700882,trigger,7
41.0785748959,feedback,5
42.4227900505,trigger,8
43.0465800762,feedback,6
44.4227199554,trigger,9
45.0625839233,feedback,7
46.4228088856,trigger,10
47.030577898,feedback,8
48.4227869511,trigger,11
49.0305790901,feedback,9
50.4227368832,trigger,12
51.0145819187,feedback,10
52.4227499962,trigger,13
53.014580965,feedback,11
54.4227399826,trigger,14
54.9995770454,feedback,12
56.42274189,trigger,15
56.9995810986,feedback,13
58.4226789474,trigger,16
59.0305829048,feedback,14
60.4227499962,trigger,17
61.0305790901,feedback,15
62.4227330685,trigger,18
62.9995748997,feedback,16
64.4227108955,trigger,19
65.0145790577,feedback,17
66.4226849079,trigger,20
67.030577898,feedback,18
68.4227309227,trigger,21
69.0305769444,feedback,19
70.4226911068,trigger,22
71.030575037,feedback,20
72.4227190018,trigger,23
73.0145769119,feedback,21
74.4227259159,trigger,24
75.0145819187,feedback,22
76.4227490425,trigger,25
77.0305829048,feedback,23
78.4226629734,trigger,26
79.030577898,feedback,24
80.4227120876,trigger,27
81.0626029968,feedback,25
82.4227828979,trigger,28
83.078578949,feedback,26
84.4227409363,trigger,29
85.0465788841,feedback,27
86.4226810932,trigger,30
87.0305769444,feedback,28
88.4226849079,trigger,31
89.0145759583,feedback,29
90.4226539135,trigger,32
91.021586895,feedback,30
92.4297430515,trigger,33
93.0055799484,feedback,31
94.4297339916,trigger,34
95.0055990219,feedback,32
96.4297590256,trigger,35
97.021586895,feedback,33
98.4297590256,trigger,36
99.1015839577,feedback,34
100.429728985,trigger,37
101.005578995,feedback,35
102.42969203,trigger,38
103.005575895,feedback,36
104.429717064,trigger,39
105.021589041,feedback,37
106.429761887,trigger,40
107.037672997,feedback,38
108.429766893,trigger,41
109.085580111,feedback,39
110.429718018,trigger,42
111.037584066,feedback,40
112.429742098,trigger,43
113.053576946,feedback,41
114.429755926,trigger,44
115.085586071,feedback,42
116.429714918,trigger,45
117.053939104,feedback,43
118.429733038,trigger,46
119.053591967,feedback,44
120.429781914,trigger,47
121.021578074,feedback,45
122.429783106,trigger,48
123.005587101,feedback,46
124.429759979,trigger,49
125.005580902,feedback,47
126.429717064,trigger,50
127.03757906,feedback,48
128.429723978,trigger,51
129.021578074,feedback,49
130.429723978,trigger,52
131.037580013,feedback,50
132.429766893,trigger,53
133.02158308,feedback,51
134.429759979,trigger,54
135.069595098,feedback,52
136.429742098,trigger,55
137.021579027,feedback,53
138.429769993,trigger,56
139.021588087,feedback,54
140.429728031,trigger,57
141.053867102,feedback,55
142.429816961,trigger,58
143.03757906,feedback,56
144.429692984,trigger,59
144.990577936,feedback,57
146.429708004,trigger,60
147.005575895,feedback,58
148.429686069,trigger,61
149.037578106,feedback,59
150.429718971,trigger,62
150.990585089,feedback,60
152.429713011,trigger,63
153.005578995,feedback,61
154.429769993,trigger,64
155.006318092,feedback,62
156.431760073,trigger,65
157.04521203,feedback,63
158.433722019,trigger,66
159.073581934,feedback,64
160.434766054,trigger,67
161.010577917,feedback,65
162.434709072,trigger,68
163.026578903,feedback,66
164.434720993,trigger,69
165.010577917,feedback,67
166.434684992,trigger,70
167.106575966,feedback,68
168.434700012,trigger,71
169.010593891,feedback,69
170.434717894,trigger,72
171.026582956,feedback,70
172.434772015,trigger,73
173.058588982,feedback,71
174.434694052,trigger,74
175.090817928,feedback,72
176.434717894,trigger,75
177.057578087,feedback,73
178.433792114,trigger,76
179.07359004,feedback,74
180.433705091,trigger,77
181.009582996,feedback,75
182.433753967,trigger,78
183.057579041,feedback,76
184.43376708,trigger,79
185.009576082,feedback,77
186.43373394,trigger,80
187.105576992,feedback,78
188.424714088,trigger,81
189.016580105,feedback,79
190.424721956,trigger,82
191.032577038,feedback,80
192.424758911,trigger,83
193.048583031,feedback,81
194.424772978,trigger,84
195.032584906,feedback,82
196.424757004,trigger,85
197.016582966,feedback,83
198.424751043,trigger,86
199.048585892,feedback,84
200.424751997,trigger,87
201.080579042,feedback,85
202.424699068,trigger,88
203.096609116,feedback,86
204.424808025,trigger,89
205.032579899,feedback,87
206.424761057,trigger,90
207.052366972,feedback,88
208.424763918,trigger,91
209.032578945,feedback,89
210.424704075,trigger,92
211.016580105,feedback,90
212.424752951,trigger,93
213.032587051,feedback,91
214.42473197,trigger,94
215.080579042,feedback,92
216.424825907,trigger,95
217.000576019,feedback,93
218.424767017,trigger,96
219.000576019,feedback,94
220.424704075,trigger,97
221.032577991,feedback,95
222.424700022,trigger,98
223.016577959,feedback,96
224.424710035,trigger,99
225.064583063,feedback,97
226.424781084,trigger,100
227.080585003,feedback,98
228.424761057,trigger,101
229.032578945,feedback,99
230.424746037,trigger,102
231.034303904,feedback,100
232.433729887,trigger,103
233.105580091,feedback,101
234.43372798,trigger,104
235.073582888,feedback,102
236.433751106,trigger,105
237.025589943,feedback,103
238.43374896,trigger,106
239.041584015,feedback,104
240.433779001,trigger,107
241.057579994,feedback,105
242.433769941,trigger,108
243.089579105,feedback,106
244.433743954,trigger,109
245.026336908,feedback,107
246.434717894,trigger,110
247.106585979,feedback,108
248.434789896,trigger,111
249.090579033,feedback,109
250.4347229,trigger,112
251.058581114,feedback,110
252.434762955,trigger,113
253.074578047,feedback,111
254.434757948,trigger,114
255.074578047,feedback,112
256.434755087,trigger,115
257.065578938,feedback,113
258.425734997,trigger,116
259.065583944,feedback,114
260.425785065,trigger,117
261.097579956,feedback,115
262.425717115,trigger,118
263.017585993,feedback,116
264.42581892,trigger,119
265.179584026,feedback,117
266.427762032,trigger,120
267.086134911,feedback,118
268.429660082,trigger,121
269.085575104,feedback,119
270.429713964,trigger,122
271.10158205,feedback,120
272.42978096,trigger,123
273.037580013,feedback,121
274.429776907,trigger,124
275.053580046,feedback,122
276.429785967,trigger,125
277.085588932,feedback,123
278.429774046,trigger,126
279.005578041,feedback,124
280.429768085,trigger,127
281.117578983,feedback,125
282.429759979,trigger,128
283.005585909,feedback,126
284.435760021,trigger,129
285.091579914,feedback,127
286.4357481,trigger,130
287.043581009,feedback,128
288.435775995,trigger,131
289.075582027,feedback,129
290.435792923,trigger,132
291.075584888,feedback,130
292.435702085,trigger,133
293.107584,feedback,131
294.435753107,trigger,134
295.107597113,feedback,132
296.435754061,trigger,135
297.123583078,feedback,133
298.435791969,trigger,136
299.139584064,feedback,134
300.435746908,trigger,137
301.219588041,feedback,135
302.435750961,trigger,138
303.075578928,feedback,136
304.435755968,trigger,139
305.027585983,feedback,137
306.435754061,trigger,140
307.075598001,feedback,138
308.4357481,trigger,141
309.107595921,feedback,139
310.436779976,trigger,142
311.044584036,feedback,140
312.436750889,trigger,143
313.028580904,feedback,141
314.420660973,trigger,144
315.044578075,feedback,142
316.420758009,trigger,145
317.060585976,feedback,143
318.420711994,trigger,146
319.177582979,feedback,144
320.425749063,trigger,147
321.049577951,feedback,145
322.425740957,trigger,148
323.102392912,feedback,146
324.429770947,trigger,149
325.08603096,feedback,147
326.429727077,trigger,150
327.069581985,feedback,148
328.429769039,trigger,151
329.165579081,feedback,149
330.429712057,trigger,152
331.053575993,feedback,150
332.429754019,trigger,153
333.085581064,feedback,151
334.429750919,trigger,154
335.069577932,feedback,152
336.429745913,trigger,155
337.069578886,feedback,153
338.429769993,trigger,156
339.181577921,feedback,154
340.429775953,trigger,157
341.11759305,feedback,155
342.435725927,trigger,158
343.059588909,feedback,156
344.435750961,trigger,159
345.044579983,feedback,157
347.10857892,feedback,158
