time,event,tr
27.4902019501,trigger,0
29.4728109837,trigger,1
31.4724040031,trigger,2
33.4710040092,trigger,3
35.4886610508,trigger,4
37.4903790951,trigger,5
39.4908568859,trigger,6
40.064884901,feedback,4
41.4987699986,trigger,7
42.1067950726,feedback,5
43.4820299149,trigger,8
44.1182079315,feedback,6
45.4718639851,trigger,9
46.0999701023,feedback,7
47.4956479073,trigger,10
48.1153609753,feedback,8
49.4817209244,trigger,11
50.0783269405,feedback,9
51.4749751091,trigger,12
52.0494151115,feedback,10
53.4719688892,trigger,13
54.0912671089,feedback,11
55.4828090668,trigger,14
56.0687708855,feedback,12
57.4985458851,trigger,15
58.0892009735,feedback,13
59.4727358818,trigger,16
60.0794329643,feedback,14
61.4737739563,trigger,17
62.1068780422,feedback,15
63.4835400581,trigger,18
64.1527149677,feedback,16
65.4758999348,trigger,19
66.0589799881,feedback,17
67.4878358841,trigger,20
68.0605928898,feedback,18
69.5014059544,trigger,21
70.0590178967,feedback,19
71.5011999607,trigger,22
72.0698060989,feedback,20
73.4824941158,trigger,23
74.112226963,feedback,21
75.4823141098,trigger,24
76.1291069984,feedback,22
77.487860918,trigger,25
78.0965669155,feedback,23
79.4950129986,trigger,26
80.0594289303,feedback,24
81.4796800613,trigger,27
82.1254730225,feedback,25
83.4723539352,trigger,28
84.1504070759,feedback,26
85.4740068913,trigger,29
86.1434841156,feedback,27
87.4987680912,trigger,30
88.0994200706,feedback,28
89.4914250374,trigger,31
90.1407620907,feedback,29
91.499119997,trigger,32
92.0750510693,feedback,30
93.4741098881,trigger,33
94.0474660397,feedback,31
95.4838500023,trigger,34
96.0582020283,feedback,32
97.49852705,trigger,35
98.1003060341,feedback,33
99.5013558865,trigger,36
100.081687927,feedback,34
101.476258993,trigger,37
102.063169956,feedback,35
103.496896982,trigger,38
104.113765001,feedback,36
105.499315977,trigger,39
106.071089983,feedback,37
107.469713926,trigger,40
108.119999886,feedback,38
109.480407,trigger,41
110.086306095,feedback,39
