time,event,tr
22.4420650005,trigger,0
24.4418680668,trigger,1
26.4418609142,trigger,2
28.4417829514,trigger,3
30.4418609142,trigger,4
32.4418609142,trigger,5
34.4418389797,trigger,6
35.1135730743,feedback,4
36.4417829514,trigger,7
37.049571991,feedback,5
38.4418609142,trigger,8
39.0815680027,feedback,6
40.4417579174,trigger,9
41.1295790672,feedback,7
42.4418299198,trigger,10
43.0175709724,feedback,8
44.4417719841,trigger,11
45.0655729771,feedback,9
46.4417219162,trigger,12
47.0341069698,feedback,10
48.441699028,trigger,13
49.0335800648,feedback,11
50.4417080879,trigger,14
51.08156991,feedback,12
52.4417519569,trigger,15
53.0815711021,feedback,13
54.4417049885,trigger,16
55.0815770626,feedback,14
56.4416959286,trigger,17
57.0495760441,feedback,15
58.4326660633,trigger,18
59.0885710716,feedback,16
60.4337379932,trigger,19
61.0895740986,feedback,17
62.4337439537,trigger,20
63.0735850334,feedback,18
64.4337360859,trigger,21
65.0895719528,feedback,19
66.4337310791,trigger,22
67.0895700455,feedback,20
68.4447059631,trigger,23
69.1895689964,feedback,21
70.4377338886,trigger,24
71.0935719013,feedback,22
72.4377839565,trigger,25
73.0615720749,feedback,23
74.4377660751,trigger,26
75.0135700703,feedback,24
76.4377670288,trigger,27
77.1095790863,feedback,25
78.4377000332,trigger,28
79.0615749359,feedback,26
80.4377129078,trigger,29
81.0295689106,feedback,27
82.437928915,trigger,30
83.0775749683,feedback,28
84.4377551079,trigger,31
85.1095709801,feedback,29
86.4377479553,trigger,32
87.0665700436,feedback,30
88.442745924,trigger,33
89.0830750465,feedback,31
90.4426898956,trigger,34
91.1145739555,feedback,32
92.4427490234,trigger,35
93.0825810432,feedback,33
94.4427409172,trigger,36
95.0345830917,feedback,34
96.4427170753,trigger,37
97.1145739555,feedback,35
98.4427509308,trigger,38
99.1785719395,feedback,36
100.442718029,trigger,39
101.098568916,feedback,37
102.442713976,trigger,40
103.034576893,feedback,38
104.442749023,trigger,41
105.06657505,feedback,39
106.442743063,trigger,42
107.067131996,feedback,40
108.442749977,trigger,43
109.082576036,feedback,41
110.44274807,trigger,44
111.09859705,feedback,42
112.442711115,trigger,45
113.082587004,feedback,43
114.442742109,trigger,46
115.034575939,feedback,44
116.442749023,trigger,47
117.082577944,feedback,45
118.442804098,trigger,48
119.098571062,feedback,46
120.442740917,trigger,49
121.082573891,feedback,47
122.442740917,trigger,50
123.050570965,feedback,48
124.442708969,trigger,51
125.021735907,feedback,49
126.435709,trigger,52
127.02756691,feedback,50
128.435736895,trigger,53
129.091577053,feedback,51
130.435745001,trigger,54
131.059570074,feedback,52
132.43572402,trigger,55
133.091573954,feedback,53
134.435698986,trigger,56
135.060051918,feedback,54
136.439748049,trigger,57
137.080137014,feedback,55
138.439716101,trigger,58
139.079576015,feedback,56
140.439662933,trigger,59
141.111573935,feedback,57
142.442886114,trigger,60
143.082573891,feedback,58
144.442766905,trigger,61
145.082668066,feedback,59
146.44274497,trigger,62
147.002574921,feedback,60
148.442740917,trigger,63
149.130572081,feedback,61
150.44274807,trigger,64
151.178570032,feedback,62
152.44272995,trigger,65
153.130565882,feedback,63
154.442718983,trigger,66
155.130570889,feedback,64
156.442765951,trigger,67
157.107728958,feedback,65
158.431646109,trigger,68
159.068026066,feedback,66
160.443686008,trigger,69
161.103286982,feedback,67
162.446755886,trigger,70
163.070858955,feedback,68
164.446738958,trigger,71
165.102575064,feedback,69
166.446715117,trigger,72
167.009582996,feedback,70
168.433701038,trigger,73
169.041570902,feedback,71
170.433743,trigger,74
171.07357192,feedback,72
172.433748007,trigger,75
173.137568951,feedback,73
174.433747053,trigger,76
175.105571032,feedback,74
176.433706045,trigger,77
177.089575052,feedback,75
178.433739901,trigger,78
179.041572094,feedback,76
180.433698893,trigger,79
181.025578022,feedback,77
182.43371892,trigger,80
183.057579041,feedback,78
184.433712959,trigger,81
185.009572983,feedback,79
186.434676886,trigger,82
187.010569096,feedback,80
188.434711933,trigger,83
189.026572943,feedback,81
190.434679985,trigger,84
191.15458703,feedback,82
192.434783936,trigger,85
193.042568922,feedback,83
194.434732914,trigger,86
195.026570082,feedback,84
196.434689045,trigger,87
197.090568066,feedback,85
198.434755087,trigger,88
199.074570894,feedback,86
200.434731007,trigger,89
201.122567892,feedback,87
202.434806108,trigger,90
203.08443594,feedback,88
204.436702013,trigger,91
205.109159946,feedback,89
206.436753988,trigger,92
207.108577013,feedback,90
208.436748981,trigger,93
209.09258008,feedback,91
210.439722061,trigger,94
211.111569881,feedback,92
212.439724922,trigger,95
213.031575918,feedback,93
214.439692974,trigger,96
215.03156805,feedback,94
216.439739943,trigger,97
217.079571962,feedback,95
218.439796925,trigger,98
219.079577923,feedback,96
220.439717054,trigger,99
221.079574108,feedback,97
222.439749002,trigger,100
223.079572916,feedback,98
224.439742088,trigger,101
225.04756999,feedback,99
226.439747095,trigger,102
227.111571074,feedback,100
228.439702988,trigger,103
229.095575094,feedback,101
230.439738035,trigger,104
231.079575062,feedback,102
232.439754963,trigger,105
233.075433969,feedback,103
234.434751987,trigger,106
235.0585711,feedback,104
236.434766054,trigger,107
237.026570082,feedback,105
238.434653997,trigger,108
238.995569944,feedback,106
240.43473506,trigger,109
241.090579033,feedback,107
242.434705973,trigger,110
243.106569052,feedback,108
244.434703112,trigger,111
245.122575998,feedback,109
246.434726,trigger,112
247.138575077,feedback,110
248.434681892,trigger,113
249.090574026,feedback,111
250.434731007,trigger,114
251.106574059,feedback,112
252.434706926,trigger,115
253.010574102,feedback,113
254.434695959,trigger,116
255.07457304,feedback,114
